USA30IDXUSD_D1 2013-05-23 00:00,15343,15353,15155,15328,1374
USA30IDXUSD_D1 2013-05-24 00:00,15328,15345,15311,15322,225
USA30IDXUSD_D1 2013-05-26 00:00,15313,15359,15313,15331,117
USA30IDXUSD_D1 2013-05-27 00:00,15331,15347,15281,15334,1005
USA30IDXUSD_D1 2013-05-28 00:00,15334,15522,15332,15391,1372
USA30IDXUSD_D1 2013-05-29 00:00,15391,15403,15226,15293,1370
USA30IDXUSD_D1 2013-05-30 00:00,15293,15400,15247,15330,1371
USA30IDXUSD_D1 2013-05-31 00:00,15330,15392,15111,15112,1244
USA30IDXUSD_D1 2013-06-02 00:00,15131,15152,15108,15136,120
USA30IDXUSD_D1 2013-06-03 00:00,15136,15254,15118,15212,495
